"","MM.purple","padj.MM.purple"
"B_CBX1",-0.295740680955847,0.0350662159993137
"B_EEF1A1P5",-0.315599750011779,0.0201245021872077
"B_BTG2",-0.354939493978483,0.00564911515270972
"B_RPA1",-0.286934051687702,0.0440715616481911
"B_AL158850.1",-0.31694578011348,0.0193687498505519
"B_MID2",-0.373558338295563,0.00282802509505235
"B_ZFHX4",0.297867509853889,0.033231677179341
"B_AC105342.1",0.304182459684851,0.0279898572759601
"B_PTGER3",0.31058213458665,0.0232616661673715
"B_RGS13",0.461175236844752,4.52592768832266e-05
"B_WFDC21P",-0.325163472333321,0.0152231209398972
"B_BRD8",-0.339399104618628,0.00968232142639903
"B_HHLA1",0.283556740282768,0.0477072393569456
"B_DAB1",0.337221204212994,0.0103815505650424
"B_DTNA",0.286812523103723,0.0442224699062122
"B_TNR",-0.435057047944267,0.000181750602425804
"B_ADGRG4",0.285950139610335,0.0450515828625003
"B_FAM171B",0.333940371815494,0.0115125312454956
"B_RBBP5",-0.308708346812858,0.0245780797716238
"B_AP1S3",-0.478642727554653,1.64127239981799e-05
"B_PCLO",0.301755885796899,0.0299045855344898
"B_GPRC5A",0.300315197301937,0.0311016345874533
"B_ABCA8",0.296019202711398,0.0348600131555203
"B_FAT1",-0.356341887825593,0.00537019638433227
"B_LHFPL2",-0.306321135158751,0.0263139617798111
"B_CNNM4",-0.34738520132993,0.00736451652759919
"B_POF1B",-0.323771177972561,0.0158913504332276
"B_CECR7",-0.423875781703514,0.000312302891988548
"B_AC024293.1",-0.361877286256663,0.00440051582005661
"B_APH1B",-0.306128509955033,0.0264785213535522
"B_CD70",-0.390093410795858,0.00142488612472887
"B_ANKRD20A8P",0.295498156618058,0.0353176183606057
"B_FIGN",0.319872712138179,0.0178732593752352
"B_AC007952.7",-0.31359734509964,0.0213584011259471
"B_CEP55",0.338279463673521,0.0100582931745853
"B_GNG11",-0.388390281378331,0.00152608112410602
"B_MYO10",0.337229113254802,0.0103815505650424
"B_AL160408.3",0.292500097630762,0.0383193729702644
"B_CARMIL3",-0.309779589533545,0.0237895899667
"B_SNTA1",-0.391453147798725,0.0013516424541714
"B_SEMA3A",0.281642443852852,0.0498296654275315
"B_HOMER2",-0.352885233348845,0.00607129954316164
"B_APCDD1",0.342278204426272,0.0087588757807407
"B_CLIC2",0.305454945118317,0.0269971898836484
"B_CSGALNACT1",-0.317515636243795,0.0190634219281839
"B_CDK11B",-0.327295496366375,0.0142395447640198
"B_IGF1R",-0.319579259248424,0.0180440981356002
"B_WNT2B",0.283441406915033,0.0478228819855063
"B_SBF2-AS1",-0.316040200269596,0.0199144641022038
"B_SCRN1",-0.321454819046616,0.0170582811263213
"B_AL590705.5",-0.295292741389067,0.0355471427316536
"B_PPFIA2",0.30244649147568,0.0293366634199993
"B_ZNF429",-0.281982009220643,0.0495752524065114
"B_AC008040.2",0.362501735549608,0.00430459581095324
"B_TRIM64",0.28796092001426,0.0428748095197575
"B_AL136360.1",0.28235822694573,0.0491020779632013
"B_ZNF322",-0.292265334595759,0.038557836365929
"B_TAX1BP3",-0.325451669481681,0.0150798294468844
"B_CDK1",0.300807616108587,0.0307405293412154
"B_HBG2",0.290138974987,0.0406629048837852
"B_SYBU",-0.516359542309682,1.52455496915717e-06
"B_GPR137C",0.363292234102643,0.00418947237894206
"B_DNAJC5B",-0.286137253798762,0.0447962240562752
"B_CNTNAP4",0.285764255860859,0.0452285604497788
"B_NEXMIF",-0.427309584986119,0.000264367478559517
"B_FRMPD3",-0.285322201768472,0.0458417173749268
"B_PXDC1",-0.368891716885488,0.00339288949855715
"B_EFHC1",-0.336108463272487,0.0107283487039992
"B_AL359976.1",0.287282375915958,0.0436604968850931
"B_PFKM",-0.303318384915355,0.0286128942275823
"B_AC003984.1",0.318955731027369,0.0183186254809956
"B_CYP46A1",0.306799023101396,0.0259895114430428
"B_DLGAP1",0.387140540834462,0.00160346414777925
