"","MM.salmon","padj.MM.salmon"
"T_ZGPAT",-0.430424803815054,0.000128667455804382
"T_HIST2H2BE",-0.339167682751083,0.00396971538967786
"T_PLOD1",-0.261947156433364,0.0409151785476681
"T_SLC16A3",-0.361580359245591,0.00181227208056357
"T_ZYX",-0.36748157148665,0.00145519434316969
"T_SLC9A3-AS1",-0.265359261917378,0.0374226198264396
"T_TSC22D4",-0.38521426430105,0.000752638200557295
"T_AL137247.1",0.360513946586793,0.00188120964513783
"T_SNORA14B",0.931915839723008,1.95319680074966e-41
"T_GUK1",-0.440218701132185,8.47975048375605e-05
"T_FASN",-0.366003114096239,0.0015363401383287
"T_GRAP",-0.309315225355522,0.0104383358933693
"T_TNRC18",-0.381935679666226,0.000848471224282936
"T_FLYWCH1",-0.351296742569931,0.00261517895119969
"T_NOD2",-0.284894142831925,0.0217548903724079
"T_MYO1F",-0.420055264404583,0.000198482027967847
"T_APRT",-0.445401232659079,6.8525884028445e-05
"T_PLXNA3",-0.308815477897969,0.0106004830880204
"T_VPS51",-0.333054706381462,0.00487290100744893
"T_SNORD3A",0.277786809289755,0.0266503868162558
"T_GSTP1",-0.416098651213444,0.000230569304811756
"T_DGKQ",-0.338326101131325,0.00409026570418781
"T_HIST1H2AC",-0.358133483299948,0.0020563863552963
"T_SNORA50A",0.811841500304407,2.47809172463265e-22
"T_SNORD15B",0.842676940199801,1.24784650901151e-25
"T_SCARNA21",0.272108688258825,0.0312500443997305
"T_CD320",-0.304692901661718,0.0120313103653978
"T_PPP1R12C",-0.467583269256045,2.57968726908651e-05
"T_SNORA49",0.725122213240395,1.62617424415183e-15
"T_CROCC",-0.352682294691428,0.00248838404911275
"T_PDCD1",-0.331788589663698,0.00508437634733581
"T_GPX4",-0.453295629054967,4.90402650321888e-05
"T_PCNX3",-0.387572203163625,0.000687833538995796
"T_SNORA40",0.48483731836219,1.16058814465415e-05
"T_TCAF2P1",-0.275761454206684,0.0281923460925327
"T_NCOR2",-0.323542974802536,0.00664801244718992
