"","p.MM.purple","p.MM.darkgrey","p.MM.darkturquoise","p.MM.salmon","p.MM.orange"
"B_WDFY3",0.584440795459468,0.785275790021144,5.80025297454016e-05,0.446393270018082,1.50375166251628e-16
"B_BST1",0.616156647592398,0.855356431406647,1.53650420602419e-05,0.350743547059104,6.79558026904976e-10
"B_PTGER2",0.521351408367984,0.654627577420859,0.0497513584471053,0.168100698923938,8.79001011179402e-07
"B_CSF1R",0.719376195406727,0.313072122912025,0.158045881536038,0.0795293697794035,0.00119865846867172
"B_STEAP4",0.628139806651842,0.818114326577294,1.03127636386996e-05,0.376107104865694,6.99747068537823e-13
"B_CD8A",0.509094249045249,0.464607728297079,0.431484679524013,0.138748830509167,0.000221798489670845
"B_PTGS2",0.867982120259749,0.432877789567158,5.84937543622479e-05,0.840198058629788,2.21966239836551e-15
"B_CSTA",0.960230289558305,0.708160387585361,0.000918444993673945,0.15931843528739,1.94398781487642e-09
"B_GIMAP8",0.465645875971787,0.694003470014324,0.0515518655208464,0.17250183814738,1.12050071649748e-08
"B_RSAD2",1.78960538608211e-11,8.77862461894188e-05,2.3532318527658e-52,0.0104404507505439,2.65930014670689e-11
"B_KLRB1",0.92857669093616,0.74846300008788,0.0627945547354037,0.179444134950115,1.01463675322392e-06
"B_ID2",0.203517711732655,0.67945443849387,0.00291468794509357,0.333626211317079,1.67259614551798e-08
