"","MM.purple","MM.darkgrey","MM.darkturquoise","MM.salmon","MM.orange"
"N_PAN2",0.0965149990251495,0.325415291899452,0.572987476403952,-0.105050916768897,-0.332089170880531
"N_DDR2",-0.153880448736151,0.148623209277329,0.0416692629094533,-0.101271446652102,0.115429332921605
"N_IGHV1-69",0.0808551429772242,0.300338813291887,0.646984024926066,-0.128446427106071,-0.455485446095687
"N_JUND",-0.0309648366653013,-0.0525419099321586,-0.153211990550088,0.235176320177322,0.224292855791287
"N_SNX5",-0.0370275306470626,0.291775698410228,0.466873546601489,-0.11112778848372,-0.32517122774803
"N_IL21R",0.064758247011302,0.212997770497786,0.415664193687906,-0.160408976184439,-0.217957489265982
"N_GAS7",-0.260416312362793,-0.362268877133067,-0.657147860679945,0.297214428363469,0.403332070815051
"N_BICDL2",0.129838664948479,0.0362879610808952,-0.0689180709355688,0.0787601622066142,0.20919595946289
"N_LRRC4",0.00601775603392149,-0.247323331013827,-0.66934309031013,0.0705742264623667,0.503178092148224
"N_CLEC17A",-0.116140614555463,0.226761446181212,0.482576551316958,-0.0229994786658724,-0.379484712978936
"N_GTF2IP4",-0.364402562926082,-0.338841756407729,-0.763947338636836,0.22280705237058,0.490747861790311
"N_PPM1F",-0.359295296572529,-0.390529018651542,-0.756156562448604,0.262450876814671,0.507636246195826
"N_TRDC",0.166559629534847,0.107813539344447,0.192682854249778,0.014088350360501,0.0682357395911758
"N_CYP4V2",-0.221921478799394,0.160543248589391,0.180503497928706,0.0115454755507909,-0.0830963667181589
"N_NOC3L",-0.0571496585415542,0.294703167457896,0.498528622394715,-0.0713965659254096,-0.385591094327308
"N_PABPC4",-0.109855955394809,0.230456524587967,0.372821584210119,-0.126017473196469,-0.223656229163463
"N_TECPR2",0.0353845022669325,-0.333894810416079,-0.590052615053594,0.143708879575975,0.474779747746407
"N_AL365361.1",-0.0808349280562151,0.331039590869223,0.449375110524333,-0.162872544400729,-0.301078467269987
"N_SHKBP1",-0.186535332915188,-0.233239285066531,-0.520283915967933,0.283810006237634,0.247782680382137
"N_LPAR1",0.0999094203033741,0.0973888894537679,-0.0251710438164668,-0.0141908652386417,0.0244932285979048
"N_ACOT9",0.783560558714278,0.117596918895806,0.389385685490374,-0.280640281845394,0.0476446355253068
"N_ARID5B",-0.0648364037251465,0.337333862263474,0.518031508427339,-0.139449583007797,-0.379017710046214
"N_ALOX15",0.067733579737249,0.0954443029916052,-0.0941649363324515,-0.16548884406195,0.0323692983454335
"N_KLF8",-0.0933165072749197,0.270678910635022,0.410802168548518,-0.141718250363164,-0.319473003810334
"N_MOB1B",-0.0720923876348377,0.290719756983847,0.283569369678045,-0.0866562041872845,-0.153697614829966
"N_TGFBR3",0.091394435756397,0.186275621898186,0.168233440022873,-0.12381632421682,0.104233336085051
"N_POLR3E",-0.0185031228353355,0.330793488017649,0.445405765925588,-0.107369180986398,-0.24063336881813
"N_CHSY1",0.146987147384076,-0.0239525504977532,-0.264018284614238,0.0521427270825126,0.309492251104097
"N_MT-ATP8",-0.14683639642336,0.186437623744899,0.17903850488915,0.000815206332787663,0.0106504814646799
"N_TSPO",-0.461558693528921,-0.322412578182998,-0.648882279835737,0.191720207566334,0.347024256575932
"N_LAMB3",0.133154624535557,-0.0168564254524836,-0.00273052644478703,-0.0253831618018945,0.13799062723652
"N_RUFY3",-0.0727881595108149,0.289071265361467,0.413983256729507,-0.137704142806483,-0.25740051308256
"N_IGHV4-39",0.0418785547745834,0.219336185084473,0.572626530937456,-0.244237662703965,-0.400041117643548
"N_GPR27",-0.00136013395114271,-0.26609693736938,-0.567499649258403,0.0597949487432103,0.460923982224767
"N_PKD1",-0.11605492834702,0.276280487282426,0.337633369167771,-0.0424215976306485,-0.186117230982479
"N_XPO4",-0.102802590107235,0.214906801825198,0.410857710189429,-0.169529073634827,-0.245537679256964
"N_C1QBP",0.00549441364392864,0.224066860251492,0.512831216312217,-0.0855723188660285,-0.33388705032134
"N_ANKRD30BP2",-0.145705121238496,0.000753144982109038,0.0315223837350038,-0.120474495216557,0.138534504460701
"N_CDC25B",0.0238160802073387,0.207945137195364,0.540706319628849,-0.10186689447037,-0.322885038755794
"N_LRBA",-0.0773456596436993,0.231092750740795,0.496401777380065,-0.113544557746474,-0.330095974156626
"N_TXN",0.0408389888405571,-0.0807708130232961,-0.222089377754214,-0.101559397261697,0.143390744014572
"N_GNL3",-0.00235054591942007,0.238908097488033,0.583211229033719,-0.120935125971814,-0.34901605851542
"N_VMP1",0.0956295447763558,-0.299029777216237,-0.549187748773481,0.124095486615163,0.457886448257998
"N_RPS27A",0.0190347372304036,0.234446363314835,0.513655243023695,-0.162312434945254,-0.297443185670641
"N_LONRF2",-0.175917628707814,0.15592688425331,-0.087519547924981,-0.0941331358652882,0.262677576548932
"N_ZBTB10",0.0107419639808669,0.288943013388628,0.437312082983247,-0.151002885695776,-0.212310286909368
"N_PTPRO",-0.136197955566958,0.32780565302177,0.380829962542858,-0.168498777225198,-0.203799527706682
"N_NUB1",0.92960764297293,0.284464022110302,0.546920562064506,-0.283713201198588,-0.0544023198140936
"N_HIST1H2AC",0.331496253322718,-0.0356528162954437,0.000280522085550027,0.0106037579693558,0.0394575484627079
"N_ONECUT2",-0.0197595841442783,0.208952658404256,0.0826843742518018,-0.247144402989012,0.139143193196594
"N_C12orf57",0.00449572572296762,0.253519403735394,0.487240219700861,-0.0748353987519929,-0.302396479259773
"N_ZNF860",-0.111457261135793,0.278877711228928,0.475128592632442,-0.201489913565231,-0.406873080378423
"N_MYO9A",-0.258980245758633,0.211470926852303,0.226914719031676,-0.116255080074686,-0.161875875165821
"N_AC026362.1",0.143473671570187,0.237686066570888,0.135285024452691,-0.187209690794465,-0.123435929087216
"N_WDR87",-0.157657375448916,0.0895120360874899,-0.036728429311531,-0.114998319329722,0.206431895162885
"N_AC138932.1",-0.0402577179323277,0.320771442897367,0.336941176157939,-0.12989445088708,-0.22129751539587
"N_LY86",-0.058155274287145,0.201020297836822,0.54077639905316,-0.022759640248228,-0.476787111334514
"N_NFATC2",0.0777434711735933,0.397378940263152,0.4771810547828,-0.268084419221608,-0.214368741523763
"N_KBTBD8",-0.0468125744761323,0.266978522226531,0.444634305732464,-0.227172406687413,-0.280929182702184
"N_OR52K3P",0.632225655971057,-0.00295005572661084,0.0722246019977693,-0.137561547848875,0.114500455999686
"N_TRAFD1",0.837860263351837,0.14776659421037,0.321350610266993,-0.250098448911146,0.0632206149336516
"N_RPL11P3",0.100515259456382,-0.244744045997199,-0.249377274368201,0.102408531467802,0.168530752174086
"N_MYO1D",-0.0374912756528763,0.278924059157227,0.470635784552666,-0.11815850346817,-0.275802999817752
"N_PLCG1",-0.0666993187250178,0.337659552170834,0.430562837466077,-0.157887989937132,-0.242975613074877
"N_HEG1",0.0482521278620941,0.277367911834682,0.241340894314495,-0.263832083233542,-0.0150368604900169
"N_SPRED1",-0.144885378329445,0.0854255743384003,-0.0813096292115027,-0.103657003563009,0.183386832897187
"N_AC107068.1",-0.320945275415141,-0.30825355465547,-0.23513961228216,0.0291202845883818,0.0828592388814802
"N_TTC26",0.631436602360327,0.108549614644018,0.297702685827047,-0.141506818161591,0.0500506113794863
"N_RAB43",0.0518848908584359,-0.233623741043824,-0.425121528794854,0.185991031294705,0.428458733857407
"N_RF00019",-0.299270275926164,-0.044900626190115,-0.299788867384827,0.47163202558066,0.103224587512696
"N_GABRA4",-0.184934719748734,0.0173157426097062,-0.0513289468155171,-0.0416610395469637,0.171580806571143
"N_LRRK2",0.180014739688266,-0.276513118924734,-0.504014668789087,0.00195325276511302,0.415004532583486
"N_LGALSL",0.204301291211046,-0.115648261364804,-0.26228381101418,-0.0801049715011936,0.418648757740556
"N_CYP4F22",0.236509423812337,0.141049558114211,0.106210182071436,-0.148808242857692,0.0770679558810223
"N_DNAJC10",-0.099162428658025,0.283962463959147,0.490605892199003,-0.198809636049475,-0.410738815877303
"N_SCO2",0.613055241619757,0.0705658776745235,0.190779842194039,-0.0459526039969518,0.140383777334512
"N_ACP5",-0.00051222902699718,0.267106686425074,0.473248372095792,-0.177673903744534,-0.421982528120582
"N_OSBPL3",-0.0599213570281921,0.287712741422128,0.423643533964935,-0.0779585047840254,-0.258706924814779
"N_Z83847.1",-0.0492574783244847,-0.0424832282156258,-0.186612458119002,0.159572760989225,0.173147010567499
"N_FAM46A",0.843871332167122,0.381963176175203,0.644378831727754,-0.352971552210417,-0.135172604045715
"N_CEACAM1",0.768416951244828,0.0667914416481258,0.207481983701623,-0.256771763725336,0.0664500168612939
"N_TDRD9",-0.123830514021026,-0.134094714536674,-0.146579285991311,0.011264023061521,0.103139949802034
"N_GBP1P1",0.858798683979905,0.297193193626925,0.543565342011101,-0.293096119902322,-0.103793098987005
"N_TSHZ3",-0.0228949435223477,-0.282263447385061,-0.515253909569885,0.0159844254089055,0.242178027950778
"N_KATNBL1",-0.0692438000680864,-0.240454366144959,-0.326759630335884,0.103444216351099,0.227285656488772
"N_HAUS4",0.0133680649673706,-0.229706963305193,-0.29670561912343,-0.00671458999479265,0.162147111819966
"N_FAT3",-0.0622228506313911,0.160907145717353,0.0261458910519137,-0.112178710512009,0.136937571836803
"N_LINC00278",-0.108410269816413,-0.0677139207833186,-0.148093127391811,0.193619750319334,0.119219230233909
"N_SNORA80A",-0.249324094927178,-0.251402961744193,-0.193228146358196,0.527116689224983,0.125761010968757
"N_MGRN1",-0.154238451527196,-0.262595771846584,-0.452037810071737,0.196685702593322,0.216348181764315
"N_KLF10",-0.0296510677555749,0.181607250936747,0.183321962766875,-0.00154983299268419,0.028232513124752
"N_ACSM2A",-0.113917908087932,0.183601433630006,-0.0393047783003371,-0.156119529554164,0.271059305801897
"N_STMN1",-0.0707696854968396,0.19589463218507,0.407359926096084,-0.0351183365006644,-0.210414213554186
"N_ZNF91",-0.32888003281878,0.123815621440837,0.127643760650739,-0.144716156839933,-0.205040809546899
"N_FTH1",0.0911833734047941,-0.294380394132031,-0.514837457803841,0.111772594761832,0.492158019159853
"N_PDE1C",-0.0350698475179214,0.130715022761521,0.0114004291263074,-0.0910377016492725,0.0708006570329232
"N_AC017116.1",0.0127717422669462,0.0345942077968109,-0.0750799767490212,0.030991922110355,0.0266971463386439
"N_C1GALT1",0.744921039568389,0.300991987814816,0.59094582323956,-0.3809476239589,-0.280132546069475
"N_SUGT1",-0.0897489340101415,0.250566505957992,0.367100747261378,-0.121997505662724,-0.222585806745243
"N_KIAA1958",0.797964582172488,0.296865704077534,0.542627191410755,-0.365587030920012,-0.087867643943166
"N_IL27RA",-0.071924845680437,0.303633977162634,0.493409627529152,-0.153199415826458,-0.284561405703996
"N_AC139495.1",0.0556833891117722,-0.04301377796456,-0.156632990055605,-0.0723257308657849,0.0848579292222694
"N_NOMO1",0.00689782422618414,0.175318889471436,0.283870813608176,0.0589532121402158,-0.330852582166208
"N_GPAM",-0.181213851422382,0.279605861362248,0.223632389805072,-0.0940873777393306,-0.10115852950928
"N_AGPAT5",0.153552201485521,0.350100068643242,0.608154065354862,-0.235028556450458,-0.397380270311523
"N_FCMR",-0.208364597780046,0.170241516996955,0.437627350703847,0.0201829203615877,-0.473754221260837
"N_MFSD6",-0.0838130143724351,0.302971903639835,0.312522642294955,-0.172548022349797,-0.142174705875658
"N_NFKBID",0.167523243515812,-0.0177628142252004,-0.00730326863618496,0.0159538719789627,0.127645169194682
"N_PRAM1",0.0935447188024545,-0.273496276805965,-0.357125447455132,0.0743490262178312,0.347035244906252
"N_SCN3A",-0.0292799637837564,0.353333537110078,0.459200745641815,-0.149912563200132,-0.31431884674978
"N_PRTG",-0.12550301658865,0.0677369042997394,0.0117968436614182,-0.0542007469240419,0.137873647095475
"N_CHMP5",0.768813953852674,0.149251336227994,0.371318494448304,-0.265025699161827,-0.00865961030445546
"N_BMS1",-0.130863545224195,0.280041054230139,0.389994612606173,-0.09827940455999,-0.228782088707091
"N_PTPRG",-0.0569940888609907,0.249318266856245,0.164586314246923,-0.193766980271971,-0.0424256346371769
"N_PRR12",-0.0746350799723675,0.115391976751409,0.0779152867633989,-0.00945082118042931,-0.0340456444650454
"N_SETBP1",-0.050555367799289,0.233930643024815,0.397010451900806,-0.2207041887807,-0.258607212161308
"N_PEAK3",-0.129465177842066,-0.288980993096721,-0.453824081167786,0.188913682533031,0.292388038241878
"N_PLPPR2",-0.0608760783816488,-0.331668161454895,-0.640561135768157,0.13073051742154,0.515889978140803
"N_AC012321.1",-0.119827246603813,-0.0184855625142838,-0.115949157582247,0.281696000074789,0.19740764615438
