"","MM.darkturquoise","padj.MM.darkturquoise"
"B_CLEC4D",0.397077537114554,0.000150187611931174
"B_RAB32",0.27002793545023,0.0143899567053343
"B_CD79A",-0.399698214303596,0.000133650147034108
"B_LUCAT1",0.406771704983454,9.74310026362352e-05
"B_LST1",0.446546151438059,1.43187816635089e-05
"B_LIN7A",0.445813612168365,1.48591722688176e-05
"B_CYP27A1",0.333952926521584,0.00184942499764435
"B_CTBP2",0.370854011160915,0.000454736320371029
"B_GBP1",0.638842722145151,2.11965926002023e-11
"B_GBP5",0.601088997743121,5.58011047391563e-10
"B_SLFN12L",0.286494355624696,0.0088946438381527
"B_MME",0.384580194604632,0.000258317077065046
"B_C3AR1",0.360016654630793,0.000699180854042033
"B_IL1R2",0.385585484734612,0.00024759966620704
"B_ACSL1",0.400384019174334,0.000129704869532206
"B_S100P",0.377864239870461,0.000341531606719922
"B_RTN1",0.256967941130338,0.0206545356314883
"B_SIGLEC1",0.518898903203449,2.21170161057085e-07
"B_PROK2",0.437977022555496,2.19941913537438e-05
"B_MXD1",0.511852241504556,3.461234969506e-07
"B_LILRA1",0.313581962092691,0.00375583471934841
"B_BEST1",0.452550470747033,1.04950318908371e-05
"B_S100A11",0.340082909545448,0.00148131160883978
"B_F5",0.337617747731347,0.00162260398971745
"B_CYBRD1",0.29446263499853,0.00695936030854597
"B_NOD2",0.418381245495946,5.72209801677554e-05
"B_AC139495.3",0.397501172644749,0.000147493844550578
"B_GBP2",0.551745598535187,2.45625717736005e-08
"B_EIF4E3",0.495282386172079,9.55649348646636e-07
"B_FAM129A",0.397443427518495,0.000147881822195664
"B_LRRC25",0.416579209517649,6.21851338553917e-05
"B_TYMP",0.577148442092782,3.76426144815067e-09
"B_CSF2RA",0.382652062638524,0.000279167491111656
"B_TLR5",0.300185811977368,0.00580430882760916
"B_GPAT3",0.387852568894723,0.0002242762126308
"B_APOBR",0.410469569102119,8.23104447959998e-05
"B_TNFAIP6",0.626551736763664,6.51964271364759e-11
"B_OAS3",0.908510740222861,4.42362628502852e-36
"B_RPL13P12",-0.272280216237983,0.0135027316850802
"B_SIRPB1",0.365913324990039,0.000553632836863609
"B_DSC2",0.443202566893169,1.69323935870652e-05
