"","32140206_Monocytes","32150052_Monocytes","32150091_Monocytes","32150099_Monocytes","32150230_Monocytes","32150289_Monocytes","32150744_Monocytes","32150750_Monocytes","32150754_Monocytes","32150755_Monocytes","32150756_Monocytes","32150762_Monocytes","32150935_Monocytes","32150940_Monocytes","32150952_Monocytes","32151039_Monocytes","32151045_Monocytes","32151047_Monocytes","32151048_Monocytes","32151137_Monocytes","32151407_Monocytes","32151432_Monocytes","32151567_Monocytes","32151572_Monocytes","32151668_Monocytes","32151813_Monocytes","32151886_Monocytes","32151889_Monocytes","32152113_Monocytes","32152115_Monocytes","32152153_Monocytes","32152162_Monocytes","32152165_Monocytes","32152205_Monocytes","32152208_Monocytes","32152211_Monocytes","32152217_Monocytes","32152294_Monocytes","32152297_Monocytes","32152300_Monocytes","32161284_Monocytes"
"32151813_Monocytes",63.2179375137583,61.7505503717403,65.8372299502194,60.3858563508206,46.7624251038664,56.8519547798634,61.0258312315727,52.5172044573944,65.2158830806697,70.4342499644091,53.45065839456,56.7071987902988,53.1902694200712,57.688419392292,61.857532705,57.3725900963116,55.0446702547351,68.1149695035741,76.4787422838998,55.5863475501571,70.7641509580729,60.8688895748538,57.8653265795124,61.9654705399782,57.9168755233819,0,53.7515556604024,56.5760094704618,54.6801043312717,69.7475647410254,63.061740325452,59.5864624291623,60.803062768334,56.88740469517,54.030659396031,57.1549924863725,70.9040365953947,56.98706867769,63.9534405103731,62.6807756255045,69.2193230092646
"32151886_Monocytes",58.1942498353894,60.117452046896,67.3930181964216,61.8945665767131,56.7293753690023,59.1250405113412,62.6295961938087,57.6679287042308,60.5708226901397,70.7799119890667,52.1881725475618,57.5373575666017,54.5663004783944,55.7900957119849,58.223901971124,52.9493194932706,52.5021937161511,61.9207204524669,71.2698023282332,58.5743134224467,69.920646583545,62.6710302295832,58.1153567194668,57.8036361296999,58.0558941805327,53.7515556604024,0,50.4767900568574,56.260733632489,69.2668265697233,68.9960093160644,59.1589138716746,66.6757900340267,53.1627296225092,56.6454712751501,55.6077038764847,61.4168128700451,58.533463536767,66.1078255455106,67.2416439141455,67.5398013095445
"32151889_Monocytes",54.6996225499498,55.4953705987555,64.9343701278571,60.8941250769145,61.5245975184366,57.6664988334948,58.5980491656006,57.120483561831,54.9954229839052,66.3531524593378,54.2935029082993,56.9072961354743,51.3591449615178,54.4946197478376,53.4693564450092,53.8307327899673,50.4856598512038,58.0259658549461,69.6473173138783,57.4249945511019,67.4739167569957,62.729432132067,57.2988613070325,52.7213984127017,50.9632784409599,56.5760094704618,50.4767900568574,0,58.7452072259312,66.5118132873318,66.3807184912896,58.4395303905601,66.985566095746,52.5444055120631,56.4482196349833,51.0958168230057,57.5680236092324,54.9865972786542,63.2324317654381,67.1331689396929,62.8201634623025
"32152113_Monocytes",67.2998427851881,65.0836212731524,61.2338974385434,64.878850340096,57.5092528058795,60.3200173422848,63.512461948722,59.4209842867061,63.0777805282778,73.3589630349167,59.2052048357523,62.5402584641202,57.5056164046789,64.7761060879408,65.8013023574358,60.6311623906755,56.7373812232662,68.5946291947462,81.5345639151236,62.7627591779819,66.5827977479838,62.7584807242805,56.1155081433938,64.0198647947536,60.9223803451783,54.6801043312717,56.260733632489,58.7452072259312,0,66.4175101311401,69.6200922168846,56.3515868921955,64.5370257378459,58.4541890063111,56.0255257182107,62.9729131598052,73.6238814310892,57.3111467241788,65.1735121985796,60.4557833882288,65.8824507095989
"32152115_Monocytes",70.7517411901723,64.2375566125525,57.4932047729402,66.0588792028087,70.8043317048351,64.8606958956681,73.3691454214626,69.3635078811099,71.2059383671096,75.6621406144931,73.4364628989541,69.2651455616171,65.8148383901775,76.794266393493,71.1454921348186,60.0526744338386,62.1063894181178,66.9147546625114,81.1495925177424,72.8463304751814,54.1185776500883,72.5170876592561,53.0562891165733,63.9558868252977,65.4306399303571,69.7475647410254,69.2668265697233,66.5118132873318,66.4175101311401,0,73.6602711224872,54.7999775672792,66.7921905062181,65.7666108861769,64.7371877400445,70.1733648963958,70.0215089128337,65.8638357268627,66.1530554290452,65.7725769418948,60.3083402250693
"32152153_Monocytes",61.9824793369096,61.8343065195265,71.4416329976599,53.2835550307686,65.4789967728782,72.2911325692034,69.8371752128594,65.8143954228966,75.2033337506479,83.1000932809647,64.6381334082757,71.4807799182314,60.4994150105316,55.7069620706972,63.039182314143,68.8434598314072,70.5191638279597,70.1567470058533,68.428995922074,69.1316201564187,72.1500400936229,77.2495085822899,67.135225612963,64.8315571791604,58.8085922392889,63.061740325452,68.9960093160644,66.3807184912896,69.6200922168846,73.6602711224872,0,70.6780586017239,65.2513801778074,73.6448333517282,69.3056312684295,63.4703795140501,74.0032461606275,62.1823538938971,68.9057061755992,70.4266158186771,66.8328621364759
"32152162_Monocytes",66.9212835554079,63.8645283814285,54.9017902148322,62.9486249280264,62.2818679725936,59.327259421857,66.8792196508093,61.386321989454,64.1717196287646,69.5864576574133,65.1247576418719,62.4732072622275,58.7320105090959,69.1508532755061,65.2900919241223,58.1492946654949,55.414683117797,64.4363493769192,78.8006462533715,67.1583381251582,57.0588745153757,62.2738547424067,52.4289096857661,62.0330525133327,60.4003617300198,59.5864624291623,59.1589138716746,58.4395303905601,56.3515868921955,54.7999775672792,70.6780586017239,0,60.7978294472264,58.5538135084428,57.6657899979508,65.9622952199195,70.4436588670679,56.4951079528087,60.4194674586064,57.9063564612217,61.1271429450349
"32152165_Monocytes",68.8883883664911,63.3337188406744,60.0165026345538,62.7114667266169,64.0756150917629,62.3199320083797,67.881210296425,58.5371574610212,70.0892528916374,75.0352623751049,66.667439094885,63.2385095665207,60.5334341324895,67.49627839706,65.725021283853,66.0553240292107,63.6744845630435,69.8320424226622,80.3021401826238,66.3900004575804,66.5204556663426,68.5871339265346,58.7415514139426,64.859502900855,62.2535422993914,60.803062768334,66.6757900340267,66.985566095746,64.5370257378459,66.7921905062181,65.2513801778074,60.7978294472264,0,65.550712074397,62.8273633140714,64.6132393898221,75.6224403392442,59.3466899109212,58.1122793787222,63.6189131158987,64.0506534402095
"32152205_Monocytes",61.4359175578768,59.0891042120969,64.1603887038863,67.3460669325289,61.9130387559788,54.0554449364402,59.5322566814797,55.9763988035271,52.1518625421544,63.8398240111997,55.7401293895915,51.292789290102,54.5009211181182,63.0581746761692,59.0702382997746,56.0268614946939,50.2751733344244,63.4041879097709,78.9651679618234,55.9473329418675,66.5809259290088,58.7027036263948,56.1770413907159,57.210157804649,57.1869680020529,56.88740469517,53.1627296225092,52.5444055120631,58.4541890063111,65.7666108861769,73.6448333517282,58.5538135084428,65.550712074397,0,51.5593257600209,54.3406981079234,61.4708886820942,58.336145950283,63.1703313579422,68.4653503380229,66.4145506797451
"32152208_Monocytes",62.6724847681489,64.6568499698476,64.1647478538839,66.0674139799729,59.1147483368241,55.5094461205278,60.5591720384805,56.5173460569602,58.896468013658,68.8618439622893,56.010093533325,56.0024818979986,54.5874032183252,64.4029851933659,63.7281703385897,59.3963813672961,55.3304794355875,67.3801132422047,80.0761955601577,57.597788769524,63.8749830662977,58.4488812303545,56.1340822785958,62.0832187724534,59.8789457759151,54.030659396031,56.6454712751501,56.4482196349833,56.0255257182107,64.7371877400445,69.3056312684295,57.6657899979508,62.8273633140714,51.5593257600209,0,58.3568452615544,69.3877002698336,57.3954667467867,63.2590448910331,62.987930215692,68.6752517477931
